experiment_name,loss_mode,repeat_idx,seed,epoch,train_loss,val_loss,bce_weight,dice_weight,dice_smooth,soft_bce_smooth,iou_class_0,iou_class_1,iou_class_2,iou_class_3,iou_class_4,iou_class_5,iou_class_6,iou_class_7,iou_class_8,miou,macro_f1,rare_miou,focal_weight,tversky_weight,tversky_alpha,tversky_beta,focal_gamma
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-06__soft_bce_smooth-0e+00,soft_bce_dice,1,43,3,0.7993713898658752,0.7964693479537964,0.2,0.8,1e-06,0.0,0.0,0.47215874753091447,0.0,0.05536654410263516,0.016288326757300783,0.0,0.41904697993688445,0.038989651107238725,0.08774000550140461,0.12106558388181982,0.17837899416858458,0.10876272367817008,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-06__soft_bce_smooth-0e+00,soft_bce_dice,1,43,4,0.7973807312250137,0.7941025547981262,0.2,0.8,1e-06,0.0,0.06926140463155835,0.5218650276939397,0.0,0.0691407750537645,0.06267017543859649,0.0,0.2760593877518116,0.0486055464552755,0.07137840971107,0.12433119185955735,0.19125403690477658,0.13073519563726013,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-06__soft_bce_smooth-0e+00,soft_bce_dice,1,43,5,0.7954311131834984,0.7908720024824143,0.2,0.8,1e-06,0.0,0.1041996151058091,0.5515776616608208,0.0,0.06174297801588841,0.08311333600638353,0.0,0.2623093773015609,0.04562052798680276,0.0845789322686488,0.13257138092732382,0.20314753254236195,0.13928679513661854,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-06__soft_bce_smooth-0e+00,soft_bce_dice,2,44,1,0.8077851129770279,0.7975616594552993,0.2,0.8,1e-06,0.0,0.0,0.4793322237747173,0.0,0.11854619777397153,0.0,0.0,0.39894147628348803,0.0,0.0,0.11075776642579743,0.15892789428127665,0.11957568430973778,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-06__soft_bce_smooth-0e+00,soft_bce_dice,2,44,2,0.8003903580307961,0.7975467981100083,0.2,0.8,1e-06,0.0,0.0,0.48967624468356613,0.0,0.056775359303859914,0.052841125637048514,0.0,0.37489467788187647,0.03996312380429979,0.013830950929947312,0.1142201646933998,0.16830414329752388,0.11985854592489491,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-06__soft_bce_smooth-0e+00,soft_bce_dice,2,44,3,0.7988424367308616,0.7959455757141113,0.2,0.8,1e-06,0.0,0.0,0.5357157032792201,0.0,0.02418401578317131,0.06598586017282008,0.0,0.3214362552080089,0.033398074276232606,0.047047518994388166,0.11419638085709345,0.16774485941620476,0.1251771158470423,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-06__soft_bce_smooth-0e+00,soft_bce_dice,2,44,4,0.7978889127969742,0.7938087928295136,0.2,0.8,1e-06,0.0,0.040847202571884234,0.5444571466543883,0.0,0.10056112406211033,0.06329105800418175,0.0,0.33488346892064047,0.045843638015444395,0.046931529203734605,0.13075724082582046,0.19604368600477573,0.14166186574413608,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-06__soft_bce_smooth-0e+00,soft_bce_dice,2,44,5,0.7958247682452202,0.7914820902347565,0.2,0.8,1e-06,0.0,0.07893361680753204,0.49513434968991843,0.0,0.1468292657895277,0.07629328037808272,0.0,0.31388497940159205,0.0366851438629793,0.09639216750542702,0.13823920038167328,0.21454255076941445,0.14365137917150578,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-06__soft_bce_smooth-0.05,soft_bce_dice,0,42,1,0.8224205418825149,0.8164762324094772,0.2,0.8,1e-06,0.05,0.0,0.481220519410492,0.0,0.060309246372889695,0.0,0.0,0.06259864951223831,0.07588853637664747,0.0,0.07555743907469638,0.11360146497813078,0.10830595315667632,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-06__soft_bce_smooth-0.05,soft_bce_dice,0,42,2,0.8178545705676079,0.8161671732664109,0.2,0.8,1e-06,0.05,0.0,0.40443236796433446,0.0,0.030803108314893926,0.03212520062136222,0.0,0.2710679711001722,0.06854301231711205,0.015570458558971776,0.09139356876409406,0.1426032156420895,0.09347213538011812,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-06__soft_bce_smooth-0.05,soft_bce_dice,0,42,3,0.8162392683029175,0.8147616591453553,0.2,0.8,1e-06,0.05,0.0,0.4253618742491853,0.0,0.058431449342372946,0.02941314542183683,0.0,0.3333366860935171,0.0552266816655436,0.008747483693074935,0.10116859116283676,0.15404712087240424,0.10264129380267902,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-06__soft_bce_smooth-0.05,soft_bce_dice,0,42,4,0.8148533051609993,0.8114649268388748,0.2,0.8,1e-06,0.05,0.0,0.4922712506848071,0.0,0.07616842784794733,0.10871019534385867,0.0,0.36619227276431265,0.033668795163140704,0.11819181903211741,0.13280030675957596,0.2011152900754097,0.13542997477532262,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-06__soft_bce_smooth-0.05,soft_bce_dice,0,42,5,0.8131114891767501,0.8097639969587326,0.2,0.8,1e-06,0.05,0.05796390094560643,0.44958492872110595,0.0,0.0876958774084344,0.09598236441120249,0.0,0.4083219454661289,0.05950601040607617,0.11894171524779266,0.1419996380673719,0.21900774448870272,0.12665263410814856,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-06__soft_bce_smooth-0.05,soft_bce_dice,1,43,1,0.8224991576075554,0.8160107585191727,0.2,0.8,1e-06,0.05,0.0,0.5142393903786775,0.0,0.08070377969408955,0.0,0.0,0.17920787040542369,0.0,0.0,0.08601678227535453,0.12583390966574962,0.11898863401455342,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-06__soft_bce_smooth-0.05,soft_bce_dice,1,43,2,0.8176661958694458,0.813033030629158,0.2,0.8,1e-06,0.05,0.0,0.4841121514963373,0.0,0.06761687092681931,0.0,0.0,0.4327486692381438,0.01593791168279327,0.0032510167395489375,0.11151851334262695,0.15788891408573016,0.11034580448463131,,,,,
soft_bce_dice__mix_weight-0.2__dice_smooth-1e-06__soft_bce_smooth-0.05,soft_bce_dice,1,43,3,0.8154996184110641,0.8131199365854264,0.2,0.8,1e-06,0.05,0.0,0.49213121507894825,0.0,0.043429956850899155,0.05554904488456579,0.0,0.42533733535467,0.04332400695676985,0.0741931742786169,0.12599608148938557,0.18512691387093874,0.11822204336288264,,,,,
