experiment_name,loss_mode,repeat_idx,seed,bce_weight,dice_weight,dice_smooth,soft_bce_smooth,best_miou,last_miou,best_macro_f1,last_macro_f1,best_rare_miou,last_rare_miou,epochs,focal_weight,tversky_weight,tversky_alpha,tversky_beta,focal_gamma,mix_weight,dice_smooth,soft_bce_smooth,alpha,gamma,beta
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-06__soft_bce_smooth-0.05,soft_bce_dice,1,43,0.5,0.5,1e-06,0.05,0.1108749356303403,0.0999498237331768,0.1494933057128372,0.1401124597045329,0.1134659812591071,0.108842563432321,5,,,,,,0.5,1e-06,0.05,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-06__soft_bce_smooth-0.05,soft_bce_dice,2,44,0.5,0.5,1e-06,0.05,0.1109595635665192,0.1077915543771548,0.1535199416829284,0.1514322828309825,0.1255211904133996,0.1255211904133996,5,,,,,,0.5,1e-06,0.05,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-06__soft_bce_smooth-0.1,soft_bce_dice,0,42,0.5,0.5,1e-06,0.1,0.1122417619632098,0.1122417619632098,0.1563262464012581,0.1563262464012581,0.1158078077425575,0.1158078077425575,5,,,,,,0.5,1e-06,0.1,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-06__soft_bce_smooth-0.1,soft_bce_dice,1,43,0.5,0.5,1e-06,0.1,0.1091577134276742,0.1091577134276742,0.1495680113222829,0.1495680113222829,0.1167217020799091,0.1167217020799091,5,,,,,,0.5,1e-06,0.1,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-06__soft_bce_smooth-0.1,soft_bce_dice,2,44,0.5,0.5,1e-06,0.1,0.1078290801868923,0.1078290801868923,0.1479349573759341,0.1479349573759341,0.1187789770384201,0.1187789770384201,5,,,,,,0.5,1e-06,0.1,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-05__soft_bce_smooth-0e+00,soft_bce_dice,0,42,0.5,0.5,1e-05,0.0,0.1068765325559692,0.0882447172190813,0.1493783087509707,0.1276399603556676,0.1247211596698736,0.1247211596698736,5,,,,,,0.5,1e-05,0.0,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-05__soft_bce_smooth-0e+00,soft_bce_dice,1,43,0.5,0.5,1e-05,0.0,0.1099825383774416,0.1099825383774416,0.1541172313187174,0.1541172313187174,0.1148667124746257,0.1148667124746257,5,,,,,,0.5,1e-05,0.0,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-05__soft_bce_smooth-0e+00,soft_bce_dice,2,44,0.5,0.5,1e-05,0.0,0.1316085531127632,0.1316085531127632,0.1843449085969303,0.1843449085969303,0.1284370338616647,0.1284370338616647,5,,,,,,0.5,1e-05,0.0,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-05__soft_bce_smooth-0.05,soft_bce_dice,0,42,0.5,0.5,1e-05,0.05,0.0928746206489421,0.0928746206489421,0.1288848302141312,0.1288848302141312,0.1124380874663454,0.1124380874663454,5,,,,,,0.5,1e-05,0.05,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-05__soft_bce_smooth-0.05,soft_bce_dice,1,43,0.5,0.5,1e-05,0.05,0.102140700319394,0.0965187543325671,0.1414928517113326,0.1332466510036107,0.112198354249979,0.1094974940522216,5,,,,,,0.5,1e-05,0.05,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-05__soft_bce_smooth-0.05,soft_bce_dice,2,44,0.5,0.5,1e-05,0.05,0.1055184106318411,0.1055184106318411,0.1448422206663825,0.1448422206663825,0.1189211457131617,0.1189211457131617,5,,,,,,0.5,1e-05,0.05,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-05__soft_bce_smooth-0.1,soft_bce_dice,0,42,0.5,0.5,1e-05,0.1,0.1109642916221736,0.1109642916221736,0.1486299310530679,0.1486299310530679,0.1142184864305721,0.1142184864305721,5,,,,,,0.5,1e-05,0.1,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-05__soft_bce_smooth-0.1,soft_bce_dice,1,43,0.5,0.5,1e-05,0.1,0.0965626888897136,0.0965626888897136,0.1363010077386534,0.1363010077386534,0.1080110272688187,0.1080110272688187,5,,,,,,0.5,1e-05,0.1,,,
soft_bce_dice__mix_weight-0.5__dice_smooth-1e-05__soft_bce_smooth-0.1,soft_bce_dice,2,44,0.5,0.5,1e-05,0.1,0.1091104291178479,0.1091104291178479,0.15736369259689,0.15736369259689,0.1235310113506365,0.1235310113506365,5,,,,,,0.5,1e-05,0.1,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-07__soft_bce_smooth-0e+00,soft_bce_dice,0,42,0.8,0.1999999999999999,1e-07,0.0,0.0612978352520877,0.0612349485022766,0.0802828105179275,0.0798143498476383,0.1103361034537579,0.110222907304098,5,,,,,,0.8,1e-07,0.0,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-07__soft_bce_smooth-0e+00,soft_bce_dice,1,43,0.8,0.1999999999999999,1e-07,0.0,0.0953732430428466,0.091523518180179,0.1334107994513626,0.1288058812264304,0.103226522412358,0.0995186671963676,5,,,,,,0.8,1e-07,0.0,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-07__soft_bce_smooth-0e+00,soft_bce_dice,2,44,0.8,0.1999999999999999,1e-07,0.0,0.1048574877078338,0.1048574877078338,0.1427643166989611,0.1427643166989611,0.1142062389991919,0.1142062389991919,5,,,,,,0.8,1e-07,0.0,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-07__soft_bce_smooth-0.05,soft_bce_dice,0,42,0.8,0.1999999999999999,1e-07,0.05,0.0605939191181856,0.0605939191181856,0.0821100453177483,0.0821100453177483,0.1083190790036821,0.1083190790036821,5,,,,,,0.8,1e-07,0.05,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-07__soft_bce_smooth-0.05,soft_bce_dice,1,43,0.8,0.1999999999999999,1e-07,0.05,0.0610050793892954,0.0610050793892954,0.0790634885028527,0.0790634885028527,0.1097985236196571,0.1097985236196571,5,,,,,,0.8,1e-07,0.05,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-07__soft_bce_smooth-0.05,soft_bce_dice,2,44,0.8,0.1999999999999999,1e-07,0.05,0.0838365702207366,0.0838365702207366,0.1192092833402636,0.1192092833402636,0.1096417403768651,0.1057492611063647,5,,,,,,0.8,1e-07,0.05,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-07__soft_bce_smooth-0.1,soft_bce_dice,0,42,0.8,0.1999999999999999,1e-07,0.1,0.0778907517582167,0.0778907517582167,0.1071952098687277,0.1071952098687277,0.1137601798248248,0.1137601798248248,5,,,,,,0.8,1e-07,0.1,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-07__soft_bce_smooth-0.1,soft_bce_dice,1,43,0.8,0.1999999999999999,1e-07,0.1,0.0811485271645274,0.0811485271645274,0.1174837493035922,0.1174837493035922,0.1050303910671493,0.096665388775007,5,,,,,,0.8,1e-07,0.1,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-07__soft_bce_smooth-0.1,soft_bce_dice,2,44,0.8,0.1999999999999999,1e-07,0.1,0.0998964801521324,0.0998964801521324,0.1382999853298785,0.1382999853298785,0.1123781635925175,0.1123781635925175,5,,,,,,0.8,1e-07,0.1,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-06__soft_bce_smooth-0e+00,soft_bce_dice,0,42,0.8,0.1999999999999999,1e-06,0.0,0.0603379705809535,0.0581018752110297,0.0795354430118333,0.0769450829423011,0.1086083470457164,0.1045354924735681,5,,,,,,0.8,1e-06,0.0,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-06__soft_bce_smooth-0e+00,soft_bce_dice,1,43,0.8,0.1999999999999999,1e-06,0.0,0.0619257986471227,0.0619257986471227,0.0849893030861546,0.0849893030861546,0.1027300231023408,0.1027300231023408,5,,,,,,0.8,1e-06,0.0,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-06__soft_bce_smooth-0e+00,soft_bce_dice,2,44,0.8,0.1999999999999999,1e-06,0.0,0.0640869688583871,0.0640869688583871,0.0839367703518272,0.0839367703518272,0.1153565439450969,0.1153565439450969,5,,,,,,0.8,1e-06,0.0,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-06__soft_bce_smooth-0.05,soft_bce_dice,0,42,0.8,0.1999999999999999,1e-06,0.05,0.0633038075727734,0.0604675227499746,0.0823716046435235,0.0794362391315016,0.1139468536309922,0.1088415409499542,5,,,,,,0.8,1e-06,0.05,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-06__soft_bce_smooth-0.05,soft_bce_dice,1,43,0.8,0.1999999999999999,1e-06,0.05,0.0720019507357004,0.0720019507357004,0.1019278226087157,0.1019278226087157,0.1115899132766831,0.1032642260895091,5,,,,,,0.8,1e-06,0.05,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-06__soft_bce_smooth-0.05,soft_bce_dice,2,44,0.8,0.1999999999999999,1e-06,0.05,0.0631437564927508,0.0631437564927508,0.0816571118147681,0.0816571118147681,0.1136587616869515,0.1136587616869515,5,,,,,,0.8,1e-06,0.05,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-06__soft_bce_smooth-0.1,soft_bce_dice,0,42,0.8,0.1999999999999999,1e-06,0.1,0.0645233612374569,0.0645233612374569,0.0832460091497472,0.0832460091497472,0.1161420502274224,0.1161420502274224,5,,,,,,0.8,1e-06,0.1,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-06__soft_bce_smooth-0.1,soft_bce_dice,1,43,0.8,0.1999999999999999,1e-06,0.1,0.0992916375000604,0.0992916375000604,0.1370135063037696,0.1370135063037696,0.0997999851914453,0.0997999851914453,5,,,,,,0.8,1e-06,0.1,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-06__soft_bce_smooth-0.1,soft_bce_dice,2,44,0.8,0.1999999999999999,1e-06,0.1,0.105402435030968,0.105402435030968,0.1447128155101544,0.1447128155101544,0.1174280961151654,0.1174280961151654,5,,,,,,0.8,1e-06,0.1,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-05__soft_bce_smooth-0e+00,soft_bce_dice,0,42,0.8,0.1999999999999999,1e-05,0.0,0.0594465507364516,0.0593041954073508,0.0826037364098797,0.0786176743618248,0.1070037913256129,0.1067429894529208,5,,,,,,0.8,1e-05,0.0,,,
